 # k        T(k) 
  2.5433457613E+01  7.5425236718E-06
  2.5966559729E+01  7.2609822401E-06
  2.6510836019E+01  6.9898679461E-06
  2.7066520700E+01  6.7287982177E-06
  2.7633852901E+01  6.4774043614E-06
  2.8213076759E+01  6.2353310631E-06
  2.8804441534E+01  6.0022359117E-06
  2.9408201706E+01  5.7777889336E-06
  3.0024617091E+01  5.5616721536E-06
  3.0653952951E+01  5.3535791582E-06
  3.1296480107E+01  5.1532146830E-06
  3.1952475058E+01  4.9602942136E-06
  3.2622220097E+01  4.7745435975E-06
  3.3306003436E+01  4.5956986739E-06
  3.4004119327E+01  4.4235049111E-06
  3.4716868189E+01  4.2577170627E-06
  3.5444556740E+01  4.0980988331E-06
  3.6187498124E+01  3.9444225526E-06
  3.6946012052E+01  3.7964688686E-06
  3.7720424934E+01  3.6540264458E-06
  3.8511070023E+01  3.5168916742E-06
  3.9318287557E+01  3.3848683934E-06
  4.0142424905E+01  3.2577676204E-06
  4.0983836718E+01  3.1354072921E-06
  4.1842885079E+01  3.0176120146E-06
  4.2719939663E+01  2.9042128207E-06
  4.3615377892E+01  2.7950469387E-06
  4.4529585099E+01  2.6899575662E-06
  4.5462954695E+01  2.5887936555E-06
  4.6415888336E+01  2.4914097029E-06
  4.7388796097E+01  2.3976655492E-06
  4.8382096649E+01  2.3074261846E-06
  4.9396217439E+01  2.2205615616E-06
  5.0431594872E+01  2.1369464154E-06
  5.1488674501E+01  2.0564600890E-06
  5.2567911220E+01  1.9789863661E-06
  5.3669769455E+01  1.9044133091E-06
  5.4794723369E+01  1.8326331035E-06
  5.5943257062E+01  1.7635419074E-06
  5.7115864781E+01  1.6970397070E-06
  5.8313051135E+01  1.6330301765E-06
  5.9535331308E+01  1.5714205437E-06
  6.0783231283E+01  1.5121214603E-06
  6.2057288068E+01  1.4550468770E-06
  6.3358049927E+01  1.4001139222E-06
  6.4686076615E+01  1.3472427866E-06
  6.6041939623E+01  1.2963566110E-06
  6.7426222418E+01  1.2473813777E-06
  6.8839520696E+01  1.2002458073E-06
  7.0282442643E+01  1.1548812579E-06
  7.1755609189E+01  1.1112216287E-06
  7.3259654282E+01  1.0692032663E-06
  7.4795225156E+01  1.0287648756E-06
  7.6362982613E+01  9.8984743294E-07
  7.7963601304E+01  9.5239410260E-07
  7.9597770023E+01  9.1635015660E-07
  8.1266192001E+01  8.8166289721E-07
  8.2969585208E+01  8.4828158228E-07
  8.4708682666E+01  8.1615735337E-07
  8.6484232757E+01  7.8524316639E-07
  8.8296999555E+01  7.5549372487E-07
  9.0147763145E+01  7.2686541558E-07
  9.2037319966E+01  6.9931624651E-07
